s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
,170.73,170.73,170.73,170.73,0.0,1998-01-12,171.556842,58.73963818,41.26036182,17.65505156,
,170.6,170.6,170.6,170.6,0.0,1998-01-13,171.5299051,50.96190228,49.03809772,14.50880216,
,176.6,176.6,176.6,176.6,0.0,1998-02-15,170.21,94.3236757,5.676324302,29.33651201,
,176.62,176.62,176.62,176.62,0.0,1998-02-16,170.3378,94.34451256,5.655487444,41.20701463,
,176.11,176.11,176.11,176.11,0.0,1998-02-17,170.589088,84.46181254,15.53818746,46.75033672,
,176.12,176.12,176.12,176.12,0.0,1998-02-18,170.8303245,84.50160361,15.49839639,51.20091082,
,176.5,176.5,176.5,176.5,0.0,1998-02-22,171.0619115,86.18238734,13.81761266,55.43368359,
,176.57,176.57,176.57,176.57,0.0,1998-02-23,171.284235,86.51903115,13.48096885,58.95455934,
,178.68,178.68,178.68,178.68,0.0,1998-02-26,171.4976656,92.97125817,7.028741832,64.35215074,
,177.58,177.58,177.58,177.58,0.0,1998-03-01,171.9286057,70.86789691,29.13210309,59.82887935,
,177.86,177.86,177.86,177.86,0.0,1998-03-02,172.3336894,72.91664006,27.08335994,57.02975951,
,178.04,178.04,178.04,178.04,0.0,1998-03-03,172.714468,74.36530616,25.63469384,55.36993007,
,178.56,178.56,178.56,178.56,0.0,1998-03-04,173.0723999,78.5152075,21.4847925,55.70202706,
,179.42,179.42,179.42,179.42,0.0,1998-03-05,173.4088559,83.90252449,16.09747551,58.12263144,
,180.31,180.31,180.31,180.31,0.0,1998-03-08,173.8897474,87.84519806,12.15480194,61.63618438,
,180.29,180.29,180.29,180.29,0.0,1998-03-09,174.5317727,87.24496018,12.75503982,64.20693157,
,180.22,180.22,180.22,180.22,0.0,1998-03-10,175.1095954,84.71256622,15.28743378,65.25057175,
,180.36,180.36,180.36,180.36,0.0,1998-03-11,175.6296359,85.7468546,14.2531454,66.49919924,
,180.84,180.84,180.84,180.84,0.0,1998-03-15,176.1972796,88.95066274,11.04933726,68.77962449,
,169.71,169.71,169.71,169.71,0.0,1998-03-16,180.84,11.83629021,88.16370979,70.28918351,
,168.91,168.91,168.91,168.91,0.0,1998-03-17,180.84,10.98096461,89.01903539,71.83896096,
,169.49,169.49,169.49,169.49,0.0,1998-03-18,180.3628,16.45235965,83.54764035,70.89022491,
,170.23,170.23,170.23,170.23,0.0,1998-03-19,179.904688,23.91086137,76.08913863,67.14783538,
,165.87,165.87,165.87,165.87,0.0,1998-03-22,179.4649005,14.42603783,85.57396217,67.94785317,
,166.06,166.06,166.06,166.06,0.0,1998-03-23,178.6492065,16.23599621,83.76400379,67.86388405,
,166.34,166.34,166.34,166.34,0.0,1998-03-24,177.8824541,19.37722195,80.62277805,66.54021846,
,166.62,166.62,166.62,166.62,0.0,1998-03-25,177.1617068,22.98728008,77.01271992,64.03726274,
,167.4,167.4,167.4,167.4,0.0,1998-03-26,176.4842044,33.37541409,66.62458591,57.87964456,
,167.83,167.83,167.83,167.83,0.0,1998-03-29,175.8473521,39.04162013,60.95837987,50.68706759,
,167.06,167.06,167.06,167.06,0.0,1998-03-30,175.248711,32.79798777,67.20201223,47.43045896,
,166.62,166.62,166.62,166.62,0.0,1998-03-31,174.6859884,29.43555449,70.56444551,46.17014538,
,166.37,166.37,166.37,166.37,0.0,1998-04-01,174.1570291,27.43775286,72.56224714,45.96101516,
,165.87,165.87,165.87,165.87,0.0,1998-04-02,173.6598073,23.45756886,76.54243114,47.38578458,
,166.47,166.47,166.47,166.47,0.0,1998-04-06,173.1924189,37.13629985,62.86370015,43.05410773,
,166.64,166.64,166.64,166.64,0.0,1998-04-07,172.7530737,40.87825424,59.12174576,38.09198448,
,166.06,166.06,166.06,166.06,0.0,1998-04-08,172.3400893,32.60202956,67.39797044,37.43277576,
,165.82,165.82,165.82,165.82,0.0,1998-04-09,171.951884,29.51155427,70.48844573,38.1415989,
,159.38,159.38,159.38,159.38,0.0,1998-04-12,171.4613332,7.060945314,92.93905469,47.688901,
,158.86,158.86,158.86,158.86,0.0,1998-04-13,170.2531999,6.557446677,93.44255332,55.52814213,
,157.97,157.97,157.97,157.97,0.0,1998-05-14,168.8860159,5.689477137,94.31052286,62.14672285,
,158.01,158.01,158.01,158.01,0.0,1998-05-17,167.3577737,6.385610302,93.6143897,67.16313416,
,157.69,157.69,157.69,157.69,0.0,1998-05-18,166.0434854,5.94666948,94.05333052,71.35183953,
,157.57,157.57,157.57,157.57,0.0,1998-05-19,164.7069277,5.761040503,94.2389595,74.77705542,
,157.29,157.29,157.29,157.29,0.0,1998-05-20,163.4222807,5.28029325,94.71970675,77.70952704,
,157.57,157.57,157.57,157.57,0.0,1998-05-21,162.1958246,14.22724798,85.77275202,76.47672244,
,157.68,157.68,157.68,157.68,0.0,1998-05-24,161.2146597,18.0294686,81.9705314,73.96959051,
,156.84,156.84,156.84,156.84,0.0,1998-05-25,160.4297277,12.66879044,87.33120956,74.10815623,
,157.05,157.05,157.05,157.05,0.0,1998-05-26,159.7117822,20.09333526,79.90666474,71.24919088,
,157.56,157.56,157.56,157.56,0.0,1998-05-27,159.1374257,36.48543477,63.51456523,62.4051788,
,156.86,156.86,156.86,156.86,0.0,1998-05-28,158.6779406,26.9871291,73.0128709,59.1292914,
,156.86,156.86,156.86,156.86,0.0,1998-06-01,158.3103525,26.9871291,73.0128709,56.50858148,
,156.43,156.43,156.43,156.43,0.0,1998-06-02,158.016282,21.59191962,78.40808038,56.57009733,
,156.91,156.91,156.91,156.91,0.0,1998-06-03,157.6990256,38.69364462,61.30635538,49.77862002,
,156.77,156.77,156.77,156.77,0.0,1998-06-04,157.4452205,35.84338193,64.15661807,45.48554324,
,156.78,156.78,156.78,156.78,0.0,1998-06-07,157.2421764,36.26258233,63.73741767,41.88340166,
,158.05,158.05,158.05,158.05,0.0,1998-06-08,156.43,68.71437886,31.28562114,40.99247287,
,158.32,158.32,158.32,158.32,0.0,1998-06-09,156.4624,72.44298499,27.55701501,41.7711723,
,159.56,159.56,159.56,159.56,0.0,1998-06-10,156.536704,83.63771486,16.36228514,46.87202378,
,160.16,160.16,160.16,160.16,0.0,1998-06-11,156.7181018,86.8650821,13.1349179,52.24365186,
,159.95,159.95,159.95,159.95,0.0,1998-06-14,156.9934536,79.96458797,20.03541203,53.78075668,
,160.23,160.23,160.23,160.23,0.0,1998-06-15,157.2467773,82.30710428,17.69289572,55.94744705,
,160.38,160.38,160.38,160.38,0.0,1998-06-16,157.5450996,83.59176777,16.40823223,58.19466475,
,161.13,161.13,161.13,161.13,0.0,1998-06-17,157.8852876,88.71360462,11.28639538,62.04117364,
,160.72,160.72,160.72,160.72,0.0,1998-06-18,158.3395474,73.1174483,26.8825517,58.87991824,
,161.02,161.02,161.02,161.02,0.0,1998-06-21,158.7302107,76.84127462,23.15872538,57.84044444,
,161.34,161.34,161.34,161.34,0.0,1998-06-22,159.0661812,80.45175815,19.54824185,58.45305881,
,163.01,163.01,163.01,163.01,0.0,1998-06-23,159.4299922,90.3083294,9.691670601,62.88577881,
,164.07,164.07,164.07,164.07,0.0,1998-06-24,160.0743936,93.07764037,6.922359625,67.5396792,
,164.68,164.68,164.68,164.68,0.0,1998-06-25,160.8735149,94.2579006,5.742099402,71.7349036,
,165.92,165.92,165.92,165.92,0.0,1998-06-28,161.6348119,95.9936147,4.006385305,75.78536876,
,165.65,165.65,165.65,165.65,0.0,1998-06-29,162.4918495,88.69626888,11.30373112,76.10680256,
,165.87,165.87,165.87,165.87,0.0,1998-06-30,163.1774796,89.50858588,10.49141412,76.6888764,
,166.03,166.03,166.03,166.03,0.0,1998-07-01,163.7259837,90.15195618,9.848043817,77.41188359,
,166.05,166.05,166.05,166.05,0.0,1998-07-02,164.186787,90.24542257,9.754577428,78.0276759,
,165.41,165.41,165.41,165.41,0.0,1998-07-05,164.5594296,65.41256635,34.58743365,68.58716726,
,164.33,164.33,164.33,164.33,0.0,1998-07-06,166.05,41.38890412,58.61109588,58.31417216,
,163.73,163.73,163.73,163.73,0.0,1998-07-07,166.0156,32.97804376,67.02195624,53.46012022,
,163.44,163.44,163.44,163.44,0.0,1998-07-08,165.924176,29.37188328,70.62811672,51.01934287,
,162.59,162.59,162.59,162.59,0.0,1998-07-09,165.7751254,20.97037449,79.02962551,52.4273245,
,162.49,162.49,162.49,162.49,0.0,1998-07-13,165.5203154,20.12387221,79.87612779,53.89231071,
,162.85,162.85,162.85,162.85,0.0,1998-07-14,165.2172839,32.40286508,67.59713492,50.15270254,
,163.77,163.77,163.77,163.77,0.0,1998-07-15,164.9445555,54.66527137,45.33472863,41.98827058,
,163.35,163.35,163.35,163.35,0.0,1998-07-16,164.6990999,46.01692817,53.98307183,35.18384519,
,164.01,164.01,164.01,164.01,0.0,1998-07-19,164.4781899,58.81546297,41.18453703,31.67326134,
,164.04,164.04,164.04,164.04,0.0,1998-07-20,164.2793709,59.3628733,40.6371267,29.08375839,
,162.41,162.41,162.41,162.41,0.0,1998-07-21,164.1004338,31.19888235,68.80111765,30.78745377,
,161.57,161.57,161.57,161.57,0.0,1998-07-22,164.04,23.89584696,76.10415304,35.07162423,
,161.52,161.52,161.52,161.52,0.0,1998-07-23,163.6942,23.48678539,76.51321461,38.66258523,
,160.14,160.14,160.14,160.14,0.0,1998-07-26,163.346328,14.76609328,85.23390672,45.02363087,
,160.96,160.96,160.96,160.96,0.0,1998-07-27,162.769189,33.19106075,66.80893925,42.7424804,
,161.21,161.21,161.21,161.21,0.0,1998-07-28,162.2959349,38.275987,61.724013,38.88358952,
,160.97,160.97,160.97,160.97,0.0,1998-07-29,161.9078667,35.07266839,64.92733161,37.07780426,
,161.29,161.29,161.29,161.29,0.0,1998-07-30,161.5896507,43.02037898,56.97962102,32.45409181,
,161.85,161.85,161.85,161.85,0.0,1998-08-02,160.14,55.05525176,44.94474824,27.98537416,
,162.07,162.07,162.07,162.07,0.0,1998-08-03,160.1742,59.27888567,40.72111433,26.09985359,
,162.16,162.16,162.16,162.16,0.0,1998-08-04,160.250032,61.14600813,38.85399187,25.33828613,
,162.37,162.37,162.37,162.37,0.0,1998-08-05,160.3646301,65.72916417,34.27083583,26.56229457,
,163.76,163.76,163.76,163.76,0.0,1998-08-06,160.5250597,82.6561578,17.3438422,34.31229877,
,164.25,164.25,164.25,164.25,0.0,1998-08-10,160.8485537,85.75622748,14.24377252,41.75233001,
,164.77,164.77,164.77,164.77,0.0,1998-08-11,161.2567273,88.48621944,11.51378056,48.79635178,
